stage,run_idx,total_runs,seconds,lr,base_ch,weight_decay,adam_betas,loss_name,huber_beta,charbonnier_eps,scheduler,cosine_eta_min,plateau_factor,plateau_patience,grad_clip_norm,batch_size,val_mae,val_mse,val_rmse,val_norm_acc,config_json
stage1,374,576,33.518,0.0002,32,1e-05,"(0.5, 0.999)",l1,,,none,,,,0.0,32,0.07838869214057922,0.013945480808615685,0.11809098529784433,0.9608056539297104,"{""adam_betas"": [0.5, 0.999], ""base_ch"": 32, ""batch_size"": 32, ""grad_clip_norm"": 0.0, ""loss_name"": ""l1"", ""lr"": 0.0002, ""scheduler"": ""none"", ""weight_decay"": 1e-05}"
stage1,375,576,33.52,0.0002,32,0.0001,"(0.5, 0.999)",l1,,,none,,,,0.0,32,0.08585288453102112,0.01723542322218418,0.13128375079264068,0.9570735577344894,"{""adam_betas"": [0.5, 0.999], ""base_ch"": 32, ""batch_size"": 32, ""grad_clip_norm"": 0.0, ""loss_name"": ""l1"", ""lr"": 0.0002, ""scheduler"": ""none"", ""weight_decay"": 0.0001}"
stage1,376,576,33.668,0.0002,32,0.0,"(0.5, 0.999)",l1,,,cosine,0.0,,,0.0,32,0.08043601214885712,0.014727914273738861,0.1213586184567823,0.9597819939255714,"{""adam_betas"": [0.5, 0.999], ""base_ch"": 32, ""batch_size"": 32, ""cosine_eta_min"": 0.0, ""grad_clip_norm"": 0.0, ""loss_name"": ""l1"", ""lr"": 0.0002, ""scheduler"": ""cosine"", ""weight_decay"": 0.0}"
stage1,377,576,33.772,0.0002,32,1e-05,"(0.5, 0.999)",l1,,,cosine,0.0,,,0.0,32,0.08057782548666001,0.01503542511165142,0.12261902426479922,0.95971108725667,"{""adam_betas"": [0.5, 0.999], ""base_ch"": 32, ""batch_size"": 32, ""cosine_eta_min"": 0.0, ""grad_clip_norm"": 0.0, ""loss_name"": ""l1"", ""lr"": 0.0002, ""scheduler"": ""cosine"", ""weight_decay"": 1e-05}"
stage1,378,576,33.641,0.0002,32,0.0001,"(0.5, 0.999)",l1,,,cosine,0.0,,,0.0,32,0.08048281729221345,0.014685036912560463,0.12118183408646885,0.9597585913538933,"{""adam_betas"": [0.5, 0.999], ""base_ch"": 32, ""batch_size"": 32, ""cosine_eta_min"": 0.0, ""grad_clip_norm"": 0.0, ""loss_name"": ""l1"", ""lr"": 0.0002, ""scheduler"": ""cosine"", ""weight_decay"": 0.0001}"
stage1,379,576,33.683,0.0005,32,0.0,"(0.5, 0.999)",l1,,,none,,,,0.0,32,0.07840490555763245,0.014335492491722108,0.11973091702531184,0.9607975472211838,"{""adam_betas"": [0.5, 0.999], ""base_ch"": 32, ""batch_size"": 32, ""grad_clip_norm"": 0.0, ""loss_name"": ""l1"", ""lr"": 0.0005, ""scheduler"": ""none"", ""weight_decay"": 0.0}"
stage1,380,576,33.89,0.0005,32,1e-05,"(0.5, 0.999)",l1,,,none,,,,0.0,32,0.08085958564281463,0.01431000754237175,0.11962444374947684,0.9595702071785926,"{""adam_betas"": [0.5, 0.999], ""base_ch"": 32, ""batch_size"": 32, ""grad_clip_norm"": 0.0, ""loss_name"": ""l1"", ""lr"": 0.0005, ""scheduler"": ""none"", ""weight_decay"": 1e-05}"
stage1,381,576,33.779,0.0005,32,0.0001,"(0.5, 0.999)",l1,,,none,,,,0.0,32,0.08104494690895081,0.017868499279022218,0.13367310604239813,0.9594775265455247,"{""adam_betas"": [0.5, 0.999], ""base_ch"": 32, ""batch_size"": 32, ""grad_clip_norm"": 0.0, ""loss_name"": ""l1"", ""lr"": 0.0005, ""scheduler"": ""none"", ""weight_decay"": 0.0001}"
stage1,382,576,33.997,0.0005,32,0.0,"(0.5, 0.999)",l1,,,cosine,0.0,,,0.0,32,0.07753981959819793,0.013686444833874703,0.11698907997704189,0.961230090200901,"{""adam_betas"": [0.5, 0.999], ""base_ch"": 32, ""batch_size"": 32, ""cosine_eta_min"": 0.0, ""grad_clip_norm"": 0.0, ""loss_name"": ""l1"", ""lr"": 0.0005, ""scheduler"": ""cosine"", ""weight_decay"": 0.0}"
stage1,383,576,33.837,0.0005,32,1e-05,"(0.5, 0.999)",l1,,,cosine,0.0,,,0.0,32,0.07684881246089935,0.014163339860737324,0.11900983094155425,0.9615755937695504,"{""adam_betas"": [0.5, 0.999], ""base_ch"": 32, ""batch_size"": 32, ""cosine_eta_min"": 0.0, ""grad_clip_norm"": 0.0, ""loss_name"": ""l1"", ""lr"": 0.0005, ""scheduler"": ""cosine"", ""weight_decay"": 1e-05}"
